"Name";"ReleaseDate";"Action";"Adventure";"Children";"Comedy";"Crime";"Documentary";"Drama";"Fantasy";"Noir";"Horror";"Musical";"Mystery";"Romance";"SciFi";"Thriller";"War";"Western";"AvgRating";"Watches"
"30";"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.65;74
"31";"Dangerous Minds (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.11;141
"32";"Twelve Monkeys (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3.95;1511
"33";"Wings of Courage (1995)";1995;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;4
"34";"Babe (1995)";1995;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.89;1751
"35";"Carrington (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.31;70
"36";"Dead Man Walking (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.96;928
"37";"Across the Sea of Time (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.5;8
"38";"It Takes Two (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.82;28
"39";"Clueless (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.62;1362
"40";"Cry, the Beloved Country (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.93;30
"41";"Richard III (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3.96;242
"42";"Dead Presidents (1995)";1995;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2.87;221
"43";"Restoration (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.45;166
"44";"Mortal Kombat (1995)";1995;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.79;311
"45";"To Die For (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.42;544
"46";"How to Make an American Quilt (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.11;166
"47";"Seven (Se7en) (1995)";1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4.11;1137
"48";"Pocahontas (1995)";1995;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2.98;382
"49";"When Night Is Falling (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.74;27
"50";"Usual Suspects, The (1995)";1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4.52;1783
"51";"Guardian Angel (1994)";1994;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.5801;0
"52";"Mighty Aphrodite (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.64;431
"53";"Lamerica (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.75;8
"54";"Big Green, The (1995)";1995;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.56;41
"55";"Georgia (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.07;45
"56";"Kids of the Round Table (1995)";1995;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;9
"57";"Home for the Holidays (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.4;99
"58";"Postino, Il (The Postman) (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4.09;501
"59";"Confessional, The (Le Confessionnal) (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2.75;8
"60";"Indian in the Cupboard, The (1995)";1995;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3.21;357
"61";"Eye for an Eye (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;67
"62";"Mr. Holland's Opus (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;541
"63";"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.86;111
"64";"Two if by Sea (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2.27;79
"65";"Bio-Dome (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.06;143
"66";"Lawnmower Man 2: Beyond Cyberspace (1996)";1996;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1.67;97
"67";"Two Bits (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.25;4
"68";"French Twist (Gazon maudit) (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.45;60
"69";"Friday (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.66;319
"70";"From Dusk Till Dawn (1996)";1996;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;3.16;914
"71";"Fair Game (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.1;96
"72";"Kicking and Screaming (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.63;93
"73";"Mis?ables, Les (1995)";1995;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3.82;224
"74";"Bed of Roses (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.98;120
"75";"Big Bully (1996)";1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1.92;12
"76";"Screamers (1995)";1995;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2.85;178
"77";"Nico Icon (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.76;34
"78";"Crossing Guard, The (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.26;50
"79";"Juror, The (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2.61;114
"80";"White Balloon, The (Badkonake Sefid ) (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.83;52
"81";"Things to Do in Denver when You're Dead (1995)";1995;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;3.16;166
"82";"Antonia's Line (Antonia) (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.88;89
"83";"Once Upon a Time... When We Were Colored (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;33
"84";"Last Summer in the Hamptons (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.1;21
"85";"Angels and Insects (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.4;194
"86";"White Squall (1996)";1996;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.39;236
"87";"Dunston Checks In (1996)";1996;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.21;76
"88";"Black Sheep (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.94;192
"89";"Nick of Time (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.07;229
"90";"Journey of August King, The (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.67;6
"91";"Mary Reilly (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2.34;88
"92";"Vampire in Brooklyn (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2.24;89
"93";"Beautiful Girls (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.73;182
"94";"Broken Arrow (1996)";1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.88;638
"95";"In the Bleak Midwinter (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.92;13
"96";"Hate (Haine, La) (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.75;44
"97";"Shopping (1994)";1994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;6
"98";"Heidi Fleiss: Hollywood Madam (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.46;50
"99";"City Hall (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.06;128
"100";"Bottle Rocket (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.87;253
"101";"Mr. Wrong (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.82;60
"102";"Unforgettable (1996)";1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.21;33
"103";"Happy Gilmore (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.53;682
"104";"Bridges of Madison County, The (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.23;387
"105";"Nobody Loves Me (Keiner liebt mich) (1994)";1994;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.58;12
"106";"Muppet Treasure Island (1996)";1996;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.15;256
"107";"Catwalk (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.86;7
"108";"Headless Body in Topless Bar (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"109";"Braveheart (1995)";1995;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4.23;2443
"110";"Taxi Driver (1976)";1976;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4.18;1240
"111";"Rumble in the Bronx (1995)";1995;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.44;570
"112";"Before and After (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2.98;53
"113";"Margaret's Museum (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.09;11
"114";"Happiness Is in the Field (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
"115";"Anne Frank Remembered (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.1;41
"116";"Young Poisoner's Handbook, The (1995)";1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.63;79
"117";"If Lucy Fell (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.07;68
"118";"Steal Big, Steal Little (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.46;13
"119";"Race the Sun (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.67;3
"120";"Boys of St. Vincent, The (1993)";1993;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.05;37
"121";"Boomerang (1992)";1992;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2.77;194
"122";"Chungking Express (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;3.87;115
"123";"Star Maker, The (Uomo delle stelle, L') (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.21;14
"124";"Flirting With Disaster (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.83;318
"125";"NeverEnding Story III, The (1994)";1994;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1.99;99
"126";"Silence of the Palace, The (Saimt el Qusur) (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
"127";"Jupiter's Wife (1994)";1994;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.33;12
"128";"Pie in the Sky (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.31;13
"129";"Angela (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;2
"130";"Frankie Starlight (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.06;16
"131";"Jade (1995)";1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.49;91
"132";"Nueba Yol (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
"133";"Sonic Outlaws (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;2
"134";"Down Periscope (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.81;133
"135";"From the Journals of Jean Seberg (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.25;8
"136";"Man of the Year (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;13
"137";"Neon Bible, The (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.5;2
"138";"Target (1995)";1995;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1
"139";"Up Close and Personal (1996)";1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.17;139
"140";"Birdcage, The (1996)";1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.55;682
"141";"Shadows (Cienie) (1988)";1988;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
"142";"Gospa (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
"143";"Brothers McMullen, The (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.39;433
"144";"Bad Boys (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.3;362
"145";"Amazing Panda Adventure, The (1995)";1995;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.89;18
"146";"Basketball Diaries, The (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.54;181
"147";"Awfully Big Adventure, An (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.78;23
"148";"Amateur (1994)";1994;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3.79;47
"149";"Apollo 13 (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.07;1251
"150";"Rob Roy (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;3.59;554
"151";"Addiction, The (1995)";1995;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;69
"152";"Batman Forever (1995)";1995;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2.64;777
"153";"Belle de jour (1967)";1967;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.73;168
"154";"Beyond Rangoon (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3.41;87
"155";"Blue in the Face (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.56;66
"156";"Canadian Bacon (1994)";1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2.73;187
"157";"Casper (1995)";1995;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.98;259
"158";"Clockers (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.28;116
"159";"Congo (1995)";1995;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2.24;565
"160";"Crimson Tide (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;3.72;760
"161";"Crumb (1994)";1994;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.06;491
"162";"Desperado (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;3.46;540
"163";"Devil in a Blue Dress (1995)";1995;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;3.57;379
"164";"Die Hard: With a Vengeance (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.56;825
"165";"Doom Generation, The (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2.46;61
"166";"Feast of July (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.6;5
"167";"First Knight (1995)";1995;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.95;362
"168";"Free Willy 2: The Adventure Home (1995)";1995;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.02;113
"169";"Hackers (1995)";1995;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3.15;321
"170";"Jeffrey (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.57;93
"171";"Johnny Mnemonic (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2.58;458
"172";"Judge Dredd (1995)";1995;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2.31;564
"173";"Jury Duty (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.31;81
"174";"Kids (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.48;220
"175";"Living in Oblivion (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.92;205
"176";"Lord of Illusions (1995)";1995;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2.73;139
"177";"Love & Human Remains (1993)";1993;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.47;19
"178";"Mad Love (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.21;48
"179";"Mallrats (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.55;451
"180";"Mighty Morphin Power Rangers: The Movie (1995)";1995;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.61;93
"181";"Moonlight and Valentino (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.14;49
"182";"Mute Witness (1994)";1994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.48;29
"183";"Nadja (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.35;26
"184";"Net, The (1995)";1995;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2.87;569
"185";"Nine Months (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.76;211
"186";"Party Girl (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.24;105
"187";"Prophecy, The (1995)";1995;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3.22;190
"188";"Reckless (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;15
"189";"Safe (1995)";1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.75;100
"190";"Scarlet Letter, The (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.47;75
"191";"Show, The (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2
"192";"Showgirls (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.05;217
"193";"Smoke (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.76;213
"194";"Something to Talk About (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;2.84;164
"195";"Species (1995)";1995;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.82;550
"196";"Stars Fell on Henrietta, The (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.06;17
"197";"Strange Days (1995)";1995;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3.3;605
"198";"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)";1964;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3.81;117
"199";"Tie That Binds, The (1995)";1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.42;12
"200";"Three Wishes (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.64;33
"201";"Total Eclipse (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.5;30
"202";"To Wong Foo, Thanks for Everything! Julie Newmar (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.05;203
"203";"Under Siege 2: Dark Territory (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.92;203
"204";"Unstrung Heroes (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.61;85
"205";"Unzipped (1995)";1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.67;82
"206";"Walk in the Clouds, A (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.13;219
"207";"Waterworld (1995)";1995;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.63;651
"208";"White Man's Burden (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.46;52
"209";"Wild Bill (1995)";1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.15;41
"210";"Browning Version, The (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.56;34
"211";"Bushwhacked (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.93;14
"212";"Burnt By the Sun (Utomlyonnye solntsem) (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.06;123
"213";"Before the Rain (Pred dozhdot) (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.25;28
"214";"Before Sunrise (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.81;160
"215";"Billy Madison (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.18;355
"216";"Babysitter, The (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2.63;64
"217";"Boys on the Side (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.13;195
"218";"Cure, The (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.18;22
"219";"Castle Freak (1995)";1995;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1.82;28
"220";"Circle of Friends (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.55;329
"221";"Clerks (1994)";1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.95;1412
"222";"Don Juan DeMarco (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3.39;386
"223";"Disclosure (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.17;254
"224";"Dream Man (1995)";1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1
"225";"Drop Zone (1994)";1994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.67;129
"226";"Destiny Turns on the Radio (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.15;13
"227";"Death and the Maiden (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.5;108
"228";"Dolores Claiborne (1994)";1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.45;349
"229";"Dumb & Dumber (1994)";1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.19;660
